,Beds,Baths,Toilets,Is_new,Is_furnished,Is_serviced,Price,Property_type,Location
618,5.0,6.0,6.0,yes,no,no,900000000.0,house,Eti-Osa
619,6.0,7.0,7.0,yes,no,no,500000000.0,house,Eti-Osa
620,3.0,4.0,4.0,yes,yes,no,270000000.0,house,Eti-Osa
621,5.0,6.0,6.0,yes,yes,no,135000000.0,house,Eti-Osa
622,5.0,6.0,6.0,yes,yes,no,105000000.0,house,Eti-Osa
623,3.0,4.0,4.0,yes,no,yes,155000000.0,house,Eti-Osa
624,4.0,5.0,5.0,yes,yes,no,160000000.0,house,Eti-Osa
625,4.0,5.0,5.0,yes,yes,no,90000000.0,house,Eti-Osa
626,5.0,6.0,6.0,yes,yes,yes,330000000.0,house,Eti-Osa
627,3.0,4.0,4.0,yes,yes,no,180000000.0,house,Eti-Osa
628,4.0,5.0,5.0,yes,no,no,100000000.0,house,Eti-Osa
629,4.0,5.0,5.0,yes,no,no,85000000.0,house,Eti-Osa
630,5.0,6.0,6.0,yes,no,no,350000000.0,house,Eti-Osa
631,5.0,6.0,6.0,yes,no,no,135000000.0,house,Eti-Osa
632,4.0,5.0,5.0,yes,no,no,120000000.0,house,Eti-Osa
633,4.0,5.0,5.0,yes,no,no,120000000.0,house,Eti-Osa
634,2.0,3.0,3.0,yes,yes,no,38000000.0,house,Eti-Osa
635,4.0,5.0,5.0,yes,yes,no,80000000.0,house,Eti-Osa
636,3.0,4.0,4.0,yes,yes,no,47000000.0,house,Eti-Osa
637,9.0,10.0,10.0,yes,yes,no,750000000.0,house,Eti-Osa
638,4.0,5.0,5.0,yes,yes,no,110000000.0,house,Eti-Osa
639,5.0,6.0,6.0,yes,yes,no,170000000.0,house,Eti-Osa
640,5.0,6.0,6.0,yes,yes,no,350000000.0,house,Eti-Osa
641,5.0,6.0,6.0,yes,yes,no,220000000.0,house,Eti-Osa
642,5.0,6.0,6.0,yes,yes,no,370000000.0,house,Eti-Osa
643,4.0,5.0,5.0,yes,yes,no,80000000.0,house,Eti-Osa
644,5.0,6.0,6.0,yes,no,no,140000000.0,house,Eti-Osa
645,5.0,5.0,6.0,yes,no,no,110000000.0,house,Eti-Osa
646,4.0,5.0,5.0,yes,no,no,65000000.0,house,Eti-Osa
647,5.0,6.0,6.0,yes,no,no,125000000.0,house,Eti-Osa
648,3.0,4.0,4.0,yes,no,yes,180000000.0,house,Eti-Osa
649,4.0,5.0,5.0,yes,no,no,115000000.0,house,Eti-Osa
650,4.0,5.0,5.0,yes,no,no,110000000.0,house,Eti-Osa
651,5.0,5.0,6.0,yes,yes,no,480000000.0,house,Eti-Osa
652,3.0,4.0,4.0,yes,no,yes,250000000.0,house,Eti-Osa
653,3.0,4.0,4.0,yes,yes,yes,95000000.0,house,Eti-Osa
654,4.0,5.0,5.0,yes,yes,yes,70000000.0,house,Eti-Osa
655,4.0,5.0,5.0,yes,yes,yes,80000000.0,house,Eti-Osa
656,5.0,6.0,6.0,yes,yes,no,230000000.0,house,Eti-Osa
657,5.0,5.0,6.0,yes,no,no,800000000.0,house,Eti-Osa
658,4.0,5.0,5.0,yes,yes,no,230000000.0,house,Eti-Osa
659,4.0,4.0,4.0,yes,no,yes,55000000.0,house,Eti-Osa
660,5.0,6.0,6.0,yes,yes,no,130000000.0,house,Eti-Osa
661,4.0,5.0,5.0,yes,yes,no,80000000.0,house,Eti-Osa
662,4.0,5.0,5.0,yes,yes,no,120000000.0,house,Eti-Osa
663,4.0,5.0,5.0,yes,yes,no,75000000.0,house,Eti-Osa
664,5.0,6.0,6.0,yes,yes,no,225000000.0,house,Eti-Osa
665,4.0,5.0,5.0,yes,no,no,130000000.0,house,Eti-Osa
666,4.0,5.0,5.0,yes,no,no,55000000.0,house,Eti-Osa
667,2.0,3.0,3.0,yes,yes,yes,350000000.0,house,Eti-Osa
668,5.0,6.0,6.0,yes,yes,no,135000000.0,house,Eti-Osa
669,5.0,6.0,6.0,yes,yes,no,158000000.0,house,Eti-Osa
670,4.0,5.0,5.0,yes,yes,no,140000000.0,house,Eti-Osa
671,5.0,6.0,6.0,yes,yes,no,700000000.0,house,Eti-Osa
672,5.0,6.0,6.0,yes,yes,no,250000000.0,house,Eti-Osa
673,5.0,6.0,6.0,yes,yes,no,140000000.0,house,Eti-Osa
674,4.0,5.0,5.0,yes,yes,no,80000000.0,house,Eti-Osa
675,4.0,5.0,5.0,yes,yes,no,80000000.0,house,Eti-Osa
676,4.0,5.0,5.0,yes,yes,no,75000000.0,house,Eti-Osa
677,4.0,5.0,5.0,yes,yes,yes,370000000.0,house,Eti-Osa
678,2.0,3.0,3.0,yes,yes,no,60000000.0,house,Eti-Osa
679,2.0,3.0,3.0,yes,no,yes,58000000.0,house,Eti-Osa
680,4.0,5.0,5.0,yes,yes,no,210000000.0,house,Eti-Osa
681,4.0,5.0,5.0,yes,yes,no,95000000.0,house,Eti-Osa
682,5.0,6.0,6.0,yes,yes,no,300000000.0,house,Eti-Osa
683,5.0,6.0,6.0,yes,yes,no,350000000.0,house,Eti-Osa
684,4.0,5.0,5.0,yes,yes,yes,80000000.0,house,Eti-Osa
685,5.0,6.0,6.0,yes,yes,no,120000000.0,house,Eti-Osa
686,5.0,6.0,6.0,yes,yes,no,115000000.0,house,Eti-Osa
687,5.0,6.0,6.0,yes,yes,no,420000000.0,house,Eti-Osa
688,5.0,6.0,6.0,yes,yes,no,130000000.0,house,Eti-Osa
689,5.0,6.0,6.0,yes,yes,no,350000000.0,house,Eti-Osa
690,5.0,6.0,6.0,yes,yes,no,400000000.0,house,Eti-Osa
691,4.0,5.0,5.0,yes,yes,no,90000000.0,house,Eti-Osa
692,5.0,6.0,6.0,yes,yes,no,420000000.0,house,Eti-Osa
693,3.0,4.0,4.0,yes,yes,yes,85000000.0,house,Eti-Osa
694,5.0,6.0,6.0,yes,yes,no,150000000.0,house,Eti-Osa
695,4.0,5.0,5.0,yes,no,no,85000000.0,house,Eti-Osa
696,3.0,4.0,4.0,yes,no,yes,245000000.0,house,Eti-Osa
697,5.0,6.0,6.0,yes,yes,no,408000000.0,house,Eti-Osa
698,5.0,5.0,6.0,yes,yes,no,580000000.0,house,Eti-Osa
699,4.0,5.0,5.0,yes,no,no,75000000.0,house,Eti-Osa
700,3.0,4.0,4.0,yes,yes,yes,200000000.0,house,Eti-Osa
701,4.0,5.0,5.0,yes,no,yes,105000000.0,house,Eti-Osa
702,4.0,5.0,5.0,yes,yes,no,100000000.0,house,Eti-Osa
703,4.0,4.0,5.0,yes,yes,no,90000000.0,house,Eti-Osa
704,5.0,6.0,6.0,yes,no,no,130000000.0,house,Eti-Osa
705,1.0,2.0,2.0,yes,yes,yes,45000000.0,house,Eti-Osa
706,3.0,4.0,4.0,yes,yes,no,280000000.0,house,Eti-Osa
707,5.0,6.0,6.0,yes,yes,no,220000000.0,house,Eti-Osa
708,4.0,5.0,5.0,yes,no,no,110000000.0,house,Eti-Osa
709,5.0,6.0,6.0,yes,yes,no,201000000.0,house,Eti-Osa
710,4.0,5.0,5.0,yes,yes,no,145000000.0,house,Eti-Osa
711,3.0,4.0,4.0,yes,no,yes,70000000.0,house,Eti-Osa
712,5.0,6.0,6.0,yes,yes,no,250000000.0,house,Eti-Osa
713,5.0,6.0,6.0,yes,yes,no,500000000.0,house,Eti-Osa
714,3.0,4.0,4.0,yes,yes,no,55000000.0,house,Eti-Osa
715,4.0,5.0,5.0,yes,yes,no,85000000.0,house,Eti-Osa
716,4.0,5.0,5.0,yes,yes,no,75000000.0,house,Eti-Osa
717,4.0,5.0,5.0,yes,no,no,100000000.0,house,Eti-Osa
718,5.0,6.0,6.0,yes,no,no,400000000.0,house,Eti-Osa
719,1.0,1.0,2.0,yes,yes,yes,85000000.0,house,Eti-Osa
720,5.0,6.0,6.0,yes,no,no,550000000.0,house,Eti-Osa
721,3.0,4.0,4.0,yes,yes,yes,88000000.0,house,Eti-Osa
722,3.0,4.0,4.0,yes,no,yes,180000000.0,house,Eti-Osa
723,3.0,4.0,4.0,yes,no,yes,90000000.0,house,Eti-Osa
724,4.0,5.0,5.0,yes,no,yes,130000000.0,house,Eti-Osa
